time,driver,drivernumber,laptime,lapnumber,stint,pitouttime,pitintime,sector1time,sector2time,sector3time,sector1sessiontime,sector2sessiontime,sector3sessiontime,speedi1,speedi2,speedfl,speedst,ispersonalbest,compound,tyrelife,freshtyre,team,lapstarttime,lapstartdate,trackstatus,position,deleted,deletedreason,fastf1generated,isaccurate,lapstartdate_dt,time_s,time_td,laptime_s,laptime_td,pitouttime_s,pitouttime_td,pitintime_s,pitintime_td,sector1time_s,sector1time_td,sector2time_s,sector2time_td,sector3time_s,sector3time_td,sector1sessiontime_s,sector1sessiontime_td,sector2sessiontime_s,sector2sessiontime_td,sector3sessiontime_s,sector3sessiontime_td,lapstarttime_s,lapstarttime_td,pit_in_td,pit_out_td,pit_duration_s,grand_prix
0 days 01:15:51.213000,VER,1,0 days 00:01:29.897000,11.0,5.0,nan,nan,0 days 00:00:28.722000,0 days 00:00:38.645000,0 days 00:00:22.530000,0 days 01:14:50.038000,0 days 01:15:28.683000,0 days 01:15:51.213000,242.0,269.0,288.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:21.316000,2023-03-04 15:59:22.313,1,,False,nan,False,True,2023-03-04 15:59:22.313,4551.213,0 days 01:15:51.213000,89.897,0 days 00:01:29.897000,,,,,28.722,0 days 00:00:28.722000,38.645,0 days 00:00:38.645000,22.53,0 days 00:00:22.530000,4490.038,0 days 01:14:50.038000,4528.683,0 days 01:15:28.683000,4551.213,0 days 01:15:51.213000,4461.316,0 days 01:14:21.316000,,,,Bahrain GP 2023
0 days 01:17:54.706000,VER,1,0 days 00:02:03.493000,12.0,5.0,nan,0 days 01:17:52.904000,0 days 00:00:38.552000,0 days 00:00:53.439000,0 days 00:00:31.502000,0 days 01:16:29.765000,0 days 01:17:23.204000,0 days 01:17:54.706000,165.0,175.0,,220.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:51.213000,2023-03-04 16:00:52.210,1,,False,nan,False,False,2023-03-04 16:00:52.210,4674.706,0 days 01:17:54.706000,123.493,0 days 00:02:03.493000,,,4672.904,0 days 01:17:52.904000,38.552,0 days 00:00:38.552000,53.439,0 days 00:00:53.439000,31.502,0 days 00:00:31.502000,4589.765,0 days 01:16:29.765000,4643.204,0 days 01:17:23.204000,4674.706,0 days 01:17:54.706000,4551.213,0 days 01:15:51.213000,0 days 01:17:52.904000,,,Bahrain GP 2023
0 days 01:22:24.764000,VER,1,nan,13.0,6.0,0 days 01:20:27.354000,nan,nan,0 days 00:00:53.775000,0 days 00:00:27.224000,nan,0 days 01:21:57.540000,0 days 01:22:24.930000,184.0,202.0,289.0,158.0,False,SOFT,1.0,False,Red Bull Racing,0 days 01:17:54.706000,2023-03-04 16:02:55.703,1,,False,nan,False,False,2023-03-04 16:02:55.703,4944.764,0 days 01:22:24.764000,,,4827.354,0 days 01:20:27.354000,,,,,53.775,0 days 00:00:53.775000,27.224,0 days 00:00:27.224000,,,4917.54,0 days 01:21:57.540000,4944.93,0 days 01:22:24.930000,4674.706,0 days 01:17:54.706000,,0 days 01:20:27.354000,,Bahrain GP 2023
0 days 01:23:54.472000,VER,1,0 days 00:01:29.708000,14.0,6.0,nan,nan,0 days 00:00:28.736000,0 days 00:00:38.514000,0 days 00:00:22.458000,0 days 01:22:53.500000,0 days 01:23:32.014000,0 days 01:23:54.472000,241.0,271.0,288.0,321.0,True,SOFT,2.0,False,Red Bull Racing,0 days 01:22:24.764000,2023-03-04 16:07:25.761,1,,False,nan,False,True,2023-03-04 16:07:25.761,5034.472,0 days 01:23:54.472000,89.708,0 days 00:01:29.708000,,,,,28.736,0 days 00:00:28.736000,38.514,0 days 00:00:38.514000,22.458,0 days 00:00:22.458000,4973.5,0 days 01:22:53.500000,5012.014,0 days 01:23:32.014000,5034.472,0 days 01:23:54.472000,4944.764,0 days 01:22:24.764000,,,,Bahrain GP 2023
0 days 01:25:53.334000,VER,1,0 days 00:01:58.862000,15.0,6.0,nan,0 days 01:25:50.583000,0 days 00:00:38.733000,0 days 00:00:48.236000,0 days 00:00:31.893000,0 days 01:24:33.205000,0 days 01:25:21.441000,0 days 01:25:53.334000,156.0,213.0,,202.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:23:54.472000,2023-03-04 16:08:55.469,1,,False,nan,False,False,2023-03-04 16:08:55.469,5153.334,0 days 01:25:53.334000,118.862,0 days 00:01:58.862000,,,5150.583,0 days 01:25:50.583000,38.733,0 days 00:00:38.733000,48.236,0 days 00:00:48.236000,31.893,0 days 00:00:31.893000,5073.205,0 days 01:24:33.205000,5121.441,0 days 01:25:21.441000,5153.334,0 days 01:25:53.334000,5034.472,0 days 01:23:54.472000,0 days 01:25:50.583000,,,Bahrain GP 2023
0 days 00:28:26.660000,PER,11,nan,1.0,1.0,0 days 00:19:12.655000,0 days 00:21:28.512000,nan,nan,nan,nan,nan,nan,,,,142.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:19:12.655000,2023-03-04 15:04:13.652,15,,False,nan,False,False,2023-03-04 15:04:13.652,1706.66,0 days 00:28:26.660000,,,1152.655,0 days 00:19:12.655000,1288.512,0 days 00:21:28.512000,,,,,,,,,,,,,1152.655,0 days 00:19:12.655000,0 days 00:21:28.512000,0 days 00:19:12.655000,135.857,Bahrain GP 2023
0 days 00:30:35.306000,PER,11,nan,2.0,2.0,0 days 00:28:26.660000,nan,nan,0 days 00:00:44.684000,0 days 00:00:39.395000,nan,0 days 00:29:55.940000,0 days 00:30:35.346000,225.0,207.0,289.0,59.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:28:26.660000,2023-03-04 15:13:27.657,1,,False,nan,False,False,2023-03-04 15:13:27.657,1835.306,0 days 00:30:35.306000,,,1706.66,0 days 00:28:26.660000,,,,,44.684,0 days 00:00:44.684000,39.395,0 days 00:00:39.395000,,,1795.94,0 days 00:29:55.940000,1835.346,0 days 00:30:35.346000,1706.66,0 days 00:28:26.660000,,0 days 00:28:26.660000,,Bahrain GP 2023
0 days 00:32:06.785000,PER,11,0 days 00:01:31.479000,3.0,2.0,nan,nan,0 days 00:00:29.218000,0 days 00:00:39.397000,0 days 00:00:22.864000,0 days 00:31:04.524000,0 days 00:31:43.921000,0 days 00:32:06.785000,240.0,270.0,288.0,324.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:30:35.306000,2023-03-04 15:15:36.303,1,,False,nan,False,True,2023-03-04 15:15:36.303,1926.785,0 days 00:32:06.785000,91.479,0 days 00:01:31.479000,,,,,29.218,0 days 00:00:29.218000,39.397,0 days 00:00:39.397000,22.864,0 days 00:00:22.864000,1864.524,0 days 00:31:04.524000,1903.921,0 days 00:31:43.921000,1926.785,0 days 00:32:06.785000,1835.306,0 days 00:30:35.306000,,,,Bahrain GP 2023
0 days 00:34:02.776000,PER,11,0 days 00:01:55.991000,4.0,2.0,nan,0 days 00:34:00.904000,0 days 00:00:36.429000,0 days 00:00:48.097000,0 days 00:00:31.465000,0 days 00:32:43.214000,0 days 00:33:31.311000,0 days 00:34:02.776000,210.0,180.0,,201.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:32:06.785000,2023-03-04 15:17:07.782,1,,False,nan,False,False,2023-03-04 15:17:07.782,2042.776,0 days 00:34:02.776000,115.991,0 days 00:01:55.991000,,,2040.904,0 days 00:34:00.904000,36.429,0 days 00:00:36.429000,48.097,0 days 00:00:48.097000,31.465,0 days 00:00:31.465000,1963.214,0 days 00:32:43.214000,2011.311,0 days 00:33:31.311000,2042.776,0 days 00:34:02.776000,1926.785,0 days 00:32:06.785000,0 days 00:34:00.904000,,,Bahrain GP 2023
0 days 00:40:18.828000,PER,11,nan,5.0,3.0,0 days 00:37:53.994000,nan,nan,0 days 00:00:55.601000,0 days 00:00:49.918000,nan,0 days 00:39:29.008000,0 days 00:40:18.991000,167.0,136.0,288.0,135.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:34:02.776000,2023-03-04 15:19:03.773,1,,False,nan,False,False,2023-03-04 15:19:03.773,2418.828,0 days 00:40:18.828000,,,2273.994,0 days 00:37:53.994000,,,,,55.601,0 days 00:00:55.601000,49.918,0 days 00:00:49.918000,,,2369.008,0 days 00:39:29.008000,2418.991,0 days 00:40:18.991000,2042.776,0 days 00:34:02.776000,,0 days 00:37:53.994000,,Bahrain GP 2023
0 days 00:42:17.155000,PER,11,0 days 00:01:58.327000,6.0,3.0,nan,0 days 00:42:15.177000,0 days 00:00:29.006000,0 days 00:00:52.640000,0 days 00:00:36.681000,0 days 00:40:47.834000,0 days 00:41:40.474000,0 days 00:42:17.155000,241.0,161.0,,325.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:40:18.828000,2023-03-04 15:25:19.825,1,,False,nan,False,False,2023-03-04 15:25:19.825,2537.155,0 days 00:42:17.155000,118.327,0 days 00:01:58.327000,,,2535.177,0 days 00:42:15.177000,29.006,0 days 00:00:29.006000,52.64,0 days 00:00:52.640000,36.681,0 days 00:00:36.681000,2447.834,0 days 00:40:47.834000,2500.474,0 days 00:41:40.474000,2537.155,0 days 00:42:17.155000,2418.828,0 days 00:40:18.828000,0 days 00:42:15.177000,,,Bahrain GP 2023
0 days 00:53:52.097000,PER,11,nan,7.0,4.0,0 days 00:51:44.870000,nan,nan,0 days 00:00:58.846000,0 days 00:00:31.901000,nan,0 days 00:53:20.196000,0 days 00:53:52.133000,181.0,165.0,289.0,150.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:17.155000,2023-03-04 15:27:18.152,1,,False,nan,False,False,2023-03-04 15:27:18.152,3232.097,0 days 00:53:52.097000,,,3104.87,0 days 00:51:44.870000,,,,,58.846,0 days 00:00:58.846000,31.901,0 days 00:00:31.901000,,,3200.196,0 days 00:53:20.196000,3232.133,0 days 00:53:52.133000,2537.155,0 days 00:42:17.155000,,0 days 00:51:44.870000,,Bahrain GP 2023
