time,driver,drivernumber,laptime,lapnumber,stint,pitouttime,pitintime,sector1time,sector2time,sector3time,sector1sessiontime,sector2sessiontime,sector3sessiontime,speedi1,speedi2,speedfl,speedst,ispersonalbest,compound,tyrelife,freshtyre,team,lapstarttime,lapstartdate,trackstatus,position,deleted,deletedreason,fastf1generated,isaccurate,lapstartdate_dt,time_s,time_td,laptime_s,laptime_td,pitouttime_s,pitouttime_td,pitintime_s,pitintime_td,sector1time_s,sector1time_td,sector2time_s,sector2time_td,sector3time_s,sector3time_td,sector1sessiontime_s,sector1sessiontime_td,sector2sessiontime_s,sector2sessiontime_td,sector3sessiontime_s,sector3sessiontime_td,lapstarttime_s,lapstarttime_td,pit_in_td,pit_out_td,pit_duration_s,grand_prix
0 days 00:27:59.177000,LEC,16,nan,3.0,1.0,nan,0 days 00:22:07.980000,nan,nan,nan,nan,nan,nan,,,,,False,MEDIUM,3.0,True,Ferrari,0 days 00:19:34.783000,2023-03-04 15:04:35.780,15,,False,nan,False,False,2023-03-04 15:04:35.780,1679.177,0 days 00:27:59.177000,,,,,1327.98,0 days 00:22:07.980000,,,,,,,,,,,,,1174.783,0 days 00:19:34.783000,0 days 00:22:07.980000,,,Bahrain GP 2023
0 days 00:30:08.645000,LEC,16,nan,4.0,2.0,0 days 00:27:59.177000,nan,nan,0 days 00:00:59.445000,0 days 00:00:27.088000,nan,0 days 00:29:41.565000,0 days 00:30:08.799000,187.0,188.0,288.0,100.0,False,SOFT,1.0,True,Ferrari,0 days 00:27:59.177000,2023-03-04 15:13:00.174,1,,False,nan,False,False,2023-03-04 15:13:00.174,1808.645,0 days 00:30:08.645000,,,1679.177,0 days 00:27:59.177000,,,,,59.445,0 days 00:00:59.445000,27.088,0 days 00:00:27.088000,,,1781.565,0 days 00:29:41.565000,1808.799,0 days 00:30:08.799000,1679.177,0 days 00:27:59.177000,,0 days 00:27:59.177000,,Bahrain GP 2023
0 days 00:31:39.739000,LEC,16,0 days 00:01:31.094000,5.0,2.0,nan,nan,0 days 00:00:29.099000,0 days 00:00:39.134000,0 days 00:00:22.861000,0 days 00:30:37.744000,0 days 00:31:16.878000,0 days 00:31:39.739000,242.0,274.0,285.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 00:30:08.645000,2023-03-04 15:15:09.642,1,,False,nan,False,True,2023-03-04 15:15:09.642,1899.739,0 days 00:31:39.739000,91.094,0 days 00:01:31.094000,,,,,29.099,0 days 00:00:29.099000,39.134,0 days 00:00:39.134000,22.861,0 days 00:00:22.861000,1837.744,0 days 00:30:37.744000,1876.878,0 days 00:31:16.878000,1899.739,0 days 00:31:39.739000,1808.645,0 days 00:30:08.645000,,,,Bahrain GP 2023
0 days 00:33:42.236000,LEC,16,0 days 00:02:02.497000,6.0,2.0,nan,0 days 00:33:40.436000,0 days 00:00:43.084000,0 days 00:00:49.614000,0 days 00:00:29.799000,0 days 00:32:22.823000,0 days 00:33:12.437000,0 days 00:33:42.236000,157.0,222.0,,211.0,False,SOFT,3.0,True,Ferrari,0 days 00:31:39.739000,2023-03-04 15:16:40.736,1,,False,nan,False,False,2023-03-04 15:16:40.736,2022.236,0 days 00:33:42.236000,122.497,0 days 00:02:02.497000,,,2020.436,0 days 00:33:40.436000,43.084,0 days 00:00:43.084000,49.614,0 days 00:00:49.614000,29.799,0 days 00:00:29.799000,1942.823,0 days 00:32:22.823000,1992.437,0 days 00:33:12.437000,2022.236,0 days 00:33:42.236000,1899.739,0 days 00:31:39.739000,0 days 00:33:40.436000,,,Bahrain GP 2023
0 days 00:39:54.797000,LEC,16,nan,7.0,3.0,0 days 00:37:24.856000,nan,nan,0 days 00:01:03.181000,0 days 00:00:44.465000,nan,0 days 00:39:10.352000,0 days 00:39:55.007000,175.0,170.0,287.0,119.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:42.236000,2023-03-04 15:18:43.233,1,,False,nan,False,False,2023-03-04 15:18:43.233,2394.797,0 days 00:39:54.797000,,,2244.856,0 days 00:37:24.856000,,,,,63.181,0 days 00:01:03.181000,44.465,0 days 00:00:44.465000,,,2350.352,0 days 00:39:10.352000,2395.007,0 days 00:39:55.007000,2022.236,0 days 00:33:42.236000,,0 days 00:37:24.856000,,Bahrain GP 2023
0 days 00:41:47.526000,LEC,16,0 days 00:01:52.729000,8.0,3.0,nan,0 days 00:41:45.755000,0 days 00:00:30.002000,0 days 00:00:51.176000,0 days 00:00:31.551000,0 days 00:40:24.799000,0 days 00:41:15.975000,0 days 00:41:47.526000,203.0,230.0,,322.0,False,SOFT,5.0,False,Ferrari,0 days 00:39:54.797000,2023-03-04 15:24:55.794,1,,False,nan,False,False,2023-03-04 15:24:55.794,2507.526,0 days 00:41:47.526000,112.729,0 days 00:01:52.729000,,,2505.755,0 days 00:41:45.755000,30.002,0 days 00:00:30.002000,51.176,0 days 00:00:51.176000,31.551,0 days 00:00:31.551000,2424.799,0 days 00:40:24.799000,2475.975,0 days 00:41:15.975000,2507.526,0 days 00:41:47.526000,2394.797,0 days 00:39:54.797000,0 days 00:41:45.755000,,,Bahrain GP 2023
0 days 00:53:29.523000,LEC,16,nan,9.0,4.0,0 days 00:51:20.198000,nan,nan,0 days 00:00:57.205000,0 days 00:00:32.241000,nan,0 days 00:52:57.306000,0 days 00:53:29.540000,215.0,193.0,289.0,115.0,False,SOFT,6.0,False,Ferrari,0 days 00:41:47.526000,2023-03-04 15:26:48.523,1,,False,nan,False,False,2023-03-04 15:26:48.523,3209.523,0 days 00:53:29.523000,,,3080.198,0 days 00:51:20.198000,,,,,57.205,0 days 00:00:57.205000,32.241,0 days 00:00:32.241000,,,3177.306,0 days 00:52:57.306000,3209.54,0 days 00:53:29.540000,2507.526,0 days 00:41:47.526000,,0 days 00:51:20.198000,,Bahrain GP 2023
0 days 00:55:01.222000,LEC,16,0 days 00:01:31.699000,10.0,4.0,nan,nan,0 days 00:00:29.301000,0 days 00:00:39.434000,0 days 00:00:22.964000,0 days 00:53:58.824000,0 days 00:54:38.258000,0 days 00:55:01.222000,241.0,272.0,289.0,323.0,True,SOFT,7.0,False,Ferrari,0 days 00:53:29.523000,2023-03-04 15:38:30.520,1,,False,nan,False,True,2023-03-04 15:38:30.520,3301.222,0 days 00:55:01.222000,91.699,0 days 00:01:31.699000,,,,,29.301,0 days 00:00:29.301000,39.434,0 days 00:00:39.434000,22.964,0 days 00:00:22.964000,3238.824,0 days 00:53:58.824000,3278.258,0 days 00:54:38.258000,3301.222,0 days 00:55:01.222000,3209.523,0 days 00:53:29.523000,,,,Bahrain GP 2023
0 days 00:56:56.608000,LEC,16,0 days 00:01:55.386000,11.0,4.0,nan,0 days 00:56:54.817000,0 days 00:00:35.844000,0 days 00:00:48.908000,0 days 00:00:30.634000,0 days 00:55:37.066000,0 days 00:56:25.974000,0 days 00:56:56.608000,213.0,218.0,,251.0,False,SOFT,8.0,False,Ferrari,0 days 00:55:01.222000,2023-03-04 15:40:02.219,1,,False,nan,False,False,2023-03-04 15:40:02.219,3416.608,0 days 00:56:56.608000,115.386,0 days 00:01:55.386000,,,3414.817,0 days 00:56:54.817000,35.844,0 days 00:00:35.844000,48.908,0 days 00:00:48.908000,30.634,0 days 00:00:30.634000,3337.066,0 days 00:55:37.066000,3385.974,0 days 00:56:25.974000,3416.608,0 days 00:56:56.608000,3301.222,0 days 00:55:01.222000,0 days 00:56:54.817000,,,Bahrain GP 2023
0 days 01:02:08.693000,LEC,16,nan,12.0,5.0,0 days 01:00:06.298000,nan,nan,0 days 00:00:52.362000,0 days 00:00:29.183000,nan,0 days 01:01:39.515000,0 days 01:02:08.874000,185.0,191.0,289.0,110.0,False,SOFT,1.0,True,Ferrari,0 days 00:56:56.608000,2023-03-04 15:41:57.605,1,,False,nan,False,False,2023-03-04 15:41:57.605,3728.693,0 days 01:02:08.693000,,,3606.298,0 days 01:00:06.298000,,,,,52.362,0 days 00:00:52.362000,29.183,0 days 00:00:29.183000,,,3699.515,0 days 01:01:39.515000,3728.874,0 days 01:02:08.874000,3416.608,0 days 00:56:56.608000,,0 days 01:00:06.298000,,Bahrain GP 2023
0 days 01:03:38.975000,LEC,16,0 days 00:01:30.282000,13.0,5.0,nan,nan,0 days 00:00:28.884000,0 days 00:00:38.729000,0 days 00:00:22.669000,0 days 01:02:37.577000,0 days 01:03:16.306000,0 days 01:03:38.975000,243.0,272.0,290.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 01:02:08.693000,2023-03-04 15:47:09.690,1,,False,nan,False,True,2023-03-04 15:47:09.690,3818.975,0 days 01:03:38.975000,90.282,0 days 00:01:30.282000,,,,,28.884,0 days 00:00:28.884000,38.729,0 days 00:00:38.729000,22.669,0 days 00:00:22.669000,3757.577,0 days 01:02:37.577000,3796.306,0 days 01:03:16.306000,3818.975,0 days 01:03:38.975000,3728.693,0 days 01:02:08.693000,,,,Bahrain GP 2023
0 days 01:05:42.595000,LEC,16,0 days 00:02:03.620000,14.0,5.0,nan,0 days 01:05:40.808000,0 days 00:00:38.615000,0 days 00:00:53.102000,0 days 00:00:31.903000,0 days 01:04:17.590000,0 days 01:05:10.692000,0 days 01:05:42.595000,164.0,179.0,,253.0,False,SOFT,3.0,True,Ferrari,0 days 01:03:38.975000,2023-03-04 15:48:39.972,1,,False,nan,False,False,2023-03-04 15:48:39.972,3942.595,0 days 01:05:42.595000,123.62,0 days 00:02:03.620000,,,3940.808,0 days 01:05:40.808000,38.615,0 days 00:00:38.615000,53.102,0 days 00:00:53.102000,31.903,0 days 00:00:31.903000,3857.59,0 days 01:04:17.590000,3910.692,0 days 01:05:10.692000,3942.595,0 days 01:05:42.595000,3818.975,0 days 01:03:38.975000,0 days 01:05:40.808000,,,Bahrain GP 2023
0 days 01:14:34.860000,LEC,16,nan,15.0,6.0,0 days 01:12:40.378000,nan,nan,0 days 00:00:52.645000,0 days 00:00:25.540000,nan,0 days 01:14:09.392000,0 days 01:14:34.860000,190.0,208.0,289.0,163.0,False,SOFT,1.0,True,Ferrari,0 days 01:05:42.595000,2023-03-04 15:50:43.592,1,,False,nan,False,False,2023-03-04 15:50:43.592,4474.86,0 days 01:14:34.860000,,,4360.378,0 days 01:12:40.378000,,,,,52.645,0 days 00:00:52.645000,25.54,0 days 00:00:25.540000,,,4449.392,0 days 01:14:09.392000,4474.86,0 days 01:14:34.860000,3942.595,0 days 01:05:42.595000,,0 days 01:12:40.378000,,Bahrain GP 2023
0 days 01:16:04.860000,LEC,16,0 days 00:01:30,16.0,6.0,nan,nan,0 days 00:00:28.825000,0 days 00:00:38.614000,0 days 00:00:22.561000,0 days 01:15:03.685000,0 days 01:15:42.299000,0 days 01:16:04.860000,243.0,273.0,289.0,322.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:34.860000,2023-03-04 15:59:35.857,1,,False,nan,False,True,2023-03-04 15:59:35.857,4564.86,0 days 01:16:04.860000,90.0,0 days 00:01:30,,,,,28.825,0 days 00:00:28.825000,38.614,0 days 00:00:38.614000,22.561,0 days 00:00:22.561000,4503.685,0 days 01:15:03.685000,4542.299,0 days 01:15:42.299000,4564.86,0 days 01:16:04.860000,4474.86,0 days 01:14:34.860000,,,,Bahrain GP 2023
0 days 01:18:09.163000,LEC,16,0 days 00:02:04.303000,17.0,6.0,nan,0 days 01:18:07.372000,0 days 00:00:39.209000,0 days 00:00:52.946000,0 days 00:00:32.148000,0 days 01:16:44.069000,0 days 01:17:37.015000,0 days 01:18:09.163000,178.0,182.0,,250.0,False,SOFT,3.0,True,Ferrari,0 days 01:16:04.860000,2023-03-04 16:01:05.857,1,,False,nan,False,False,2023-03-04 16:01:05.857,4689.163,0 days 01:18:09.163000,124.303,0 days 00:02:04.303000,,,4687.372,0 days 01:18:07.372000,39.209,0 days 00:00:39.209000,52.946,0 days 00:00:52.946000,32.148,0 days 00:00:32.148000,4604.069,0 days 01:16:44.069000,4657.015,0 days 01:17:37.015000,4689.163,0 days 01:18:09.163000,4564.86,0 days 01:16:04.860000,0 days 01:18:07.372000,,,Bahrain GP 2023
0 days 00:17:30.455000,SAI,55,nan,1.0,1.0,0 days 00:15:34.346000,nan,nan,0 days 00:00:50.194000,0 days 00:00:28.751000,nan,0 days 00:17:01.704000,0 days 00:17:30.500000,205.0,219.0,288.0,158.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:34.346000,2023-03-04 15:00:35.343,1,,False,nan,False,False,2023-03-04 15:00:35.343,1050.455,0 days 00:17:30.455000,,,934.346,0 days 00:15:34.346000,,,,,50.194,0 days 00:00:50.194000,28.751,0 days 00:00:28.751000,,,1021.704,0 days 00:17:01.704000,1050.5,0 days 00:17:30.500000,934.346,0 days 00:15:34.346000,,0 days 00:15:34.346000,,Bahrain GP 2023
0 days 00:19:02.863000,SAI,55,0 days 00:01:32.408000,2.0,1.0,nan,nan,0 days 00:00:29.425000,0 days 00:00:39.878000,0 days 00:00:23.105000,0 days 00:17:59.880000,0 days 00:18:39.758000,0 days 00:19:02.863000,239.0,269.0,288.0,324.0,False,MEDIUM,2.0,True,Ferrari,0 days 00:17:30.455000,2023-03-04 15:02:31.452,1,,True,TRACK LIMITS AT TURN 8 LAP 3,False,True,2023-03-04 15:02:31.452,1142.863,0 days 00:19:02.863000,92.408,0 days 00:01:32.408000,,,,,29.425,0 days 00:00:29.425000,39.878,0 days 00:00:39.878000,23.105,0 days 00:00:23.105000,1079.88,0 days 00:17:59.880000,1119.758,0 days 00:18:39.758000,1142.863,0 days 00:19:02.863000,1050.455,0 days 00:17:30.455000,,,,Bahrain GP 2023
0 days 00:28:13.129000,SAI,55,nan,3.0,1.0,nan,0 days 00:21:29.496000,nan,nan,nan,nan,nan,nan,,,,255.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:19:02.863000,2023-03-04 15:04:03.860,15,,False,nan,False,False,2023-03-04 15:04:03.860,1693.129,0 days 00:28:13.129000,,,,,1289.496,0 days 00:21:29.496000,,,,,,,,,,,,,1142.863,0 days 00:19:02.863000,0 days 00:21:29.496000,,,Bahrain GP 2023
0 days 00:30:24.492000,SAI,55,nan,4.0,2.0,0 days 00:28:13.129000,nan,nan,0 days 00:00:48.863000,0 days 00:00:33.359000,nan,0 days 00:29:51.143000,0 days 00:30:24.658000,180.0,188.0,290.0,61.0,False,SOFT,1.0,True,Ferrari,0 days 00:28:13.129000,2023-03-04 15:13:14.126,1,,False,nan,False,False,2023-03-04 15:13:14.126,1824.492,0 days 00:30:24.492000,,,1693.129,0 days 00:28:13.129000,,,,,48.863,0 days 00:00:48.863000,33.359,0 days 00:00:33.359000,,,1791.143,0 days 00:29:51.143000,1824.658,0 days 00:30:24.658000,1693.129,0 days 00:28:13.129000,,0 days 00:28:13.129000,,Bahrain GP 2023
0 days 00:31:55.485000,SAI,55,0 days 00:01:30.993000,5.0,2.0,nan,nan,0 days 00:00:28.887000,0 days 00:00:39.206000,0 days 00:00:22.900000,0 days 00:30:53.379000,0 days 00:31:32.585000,0 days 00:31:55.485000,242.0,271.0,288.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 00:30:24.492000,2023-03-04 15:15:25.489,1,,False,nan,False,True,2023-03-04 15:15:25.489,1915.485,0 days 00:31:55.485000,90.993,0 days 00:01:30.993000,,,,,28.887,0 days 00:00:28.887000,39.206,0 days 00:00:39.206000,22.9,0 days 00:00:22.900000,1853.379,0 days 00:30:53.379000,1892.585,0 days 00:31:32.585000,1915.485,0 days 00:31:55.485000,1824.492,0 days 00:30:24.492000,,,,Bahrain GP 2023
0 days 00:33:52.057000,SAI,55,0 days 00:01:56.572000,6.0,2.0,nan,0 days 00:33:50.264000,0 days 00:00:36.177000,0 days 00:00:49.274000,0 days 00:00:31.121000,0 days 00:32:31.662000,0 days 00:33:20.936000,0 days 00:33:52.057000,181.0,185.0,,253.0,False,SOFT,3.0,True,Ferrari,0 days 00:31:55.485000,2023-03-04 15:16:56.482,1,,False,nan,False,False,2023-03-04 15:16:56.482,2032.057,0 days 00:33:52.057000,116.572,0 days 00:01:56.572000,,,2030.264,0 days 00:33:50.264000,36.177,0 days 00:00:36.177000,49.274,0 days 00:00:49.274000,31.121,0 days 00:00:31.121000,1951.662,0 days 00:32:31.662000,2000.936,0 days 00:33:20.936000,2032.057,0 days 00:33:52.057000,1915.485,0 days 00:31:55.485000,0 days 00:33:50.264000,,,Bahrain GP 2023
0 days 00:53:36.144000,SAI,55,nan,7.0,3.0,0 days 00:51:22.698000,nan,nan,0 days 00:00:55.304000,0 days 00:00:33.075000,nan,0 days 00:53:03.071000,0 days 00:53:36.149000,179.0,71.0,288.0,76.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:52.057000,2023-03-04 15:18:53.054,1,,False,nan,False,False,2023-03-04 15:18:53.054,3216.144,0 days 00:53:36.144000,,,3082.698,0 days 00:51:22.698000,,,,,55.304,0 days 00:00:55.304000,33.075,0 days 00:00:33.075000,,,3183.071,0 days 00:53:03.071000,3216.149,0 days 00:53:36.149000,2032.057,0 days 00:33:52.057000,,0 days 00:51:22.698000,,Bahrain GP 2023
0 days 00:55:07.607000,SAI,55,0 days 00:01:31.463000,8.0,3.0,nan,nan,0 days 00:00:29.184000,0 days 00:00:39.406000,0 days 00:00:22.873000,0 days 00:54:05.328000,0 days 00:54:44.734000,0 days 00:55:07.607000,241.0,270.0,289.0,323.0,True,SOFT,5.0,False,Ferrari,0 days 00:53:36.144000,2023-03-04 15:38:37.141,1,,False,nan,False,True,2023-03-04 15:38:37.141,3307.607,0 days 00:55:07.607000,91.463,0 days 00:01:31.463000,,,,,29.184,0 days 00:00:29.184000,39.406,0 days 00:00:39.406000,22.873,0 days 00:00:22.873000,3245.328,0 days 00:54:05.328000,3284.734,0 days 00:54:44.734000,3307.607,0 days 00:55:07.607000,3216.144,0 days 00:53:36.144000,,,,Bahrain GP 2023
0 days 00:57:00.979000,SAI,55,0 days 00:01:53.372000,9.0,3.0,nan,0 days 00:56:59.129000,0 days 00:00:34.855000,0 days 00:00:48.590000,0 days 00:00:29.927000,0 days 00:55:42.462000,0 days 00:56:31.052000,0 days 00:57:00.979000,189.0,193.0,,280.0,False,SOFT,6.0,False,Ferrari,0 days 00:55:07.607000,2023-03-04 15:40:08.604,1,,False,nan,False,False,2023-03-04 15:40:08.604,3420.979,0 days 00:57:00.979000,113.372,0 days 00:01:53.372000,,,3419.129,0 days 00:56:59.129000,34.855,0 days 00:00:34.855000,48.59,0 days 00:00:48.590000,29.927,0 days 00:00:29.927000,3342.462,0 days 00:55:42.462000,3391.052,0 days 00:56:31.052000,3420.979,0 days 00:57:00.979000,3307.607,0 days 00:55:07.607000,0 days 00:56:59.129000,,,Bahrain GP 2023
0 days 01:02:14.179000,SAI,55,nan,10.0,4.0,0 days 01:00:07.985000,nan,nan,0 days 00:00:53.244000,0 days 00:00:29.086000,nan,0 days 01:01:45.093000,0 days 01:02:14.374000,145.0,169.0,289.0,84.0,False,SOFT,1.0,True,Ferrari,0 days 00:57:00.979000,2023-03-04 15:42:01.976,1,,False,nan,False,False,2023-03-04 15:42:01.976,3734.179,0 days 01:02:14.179000,,,3607.985,0 days 01:00:07.985000,,,,,53.244,0 days 00:00:53.244000,29.086,0 days 00:00:29.086000,,,3705.093,0 days 01:01:45.093000,3734.374,0 days 01:02:14.374000,3420.979,0 days 00:57:00.979000,,0 days 01:00:07.985000,,Bahrain GP 2023
0 days 01:03:44.694000,SAI,55,0 days 00:01:30.515000,11.0,4.0,nan,nan,0 days 00:00:28.780000,0 days 00:00:39.032000,0 days 00:00:22.703000,0 days 01:02:42.959000,0 days 01:03:21.991000,0 days 01:03:44.694000,242.0,270.0,290.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:02:14.179000,2023-03-04 15:47:15.176,1,,False,nan,False,True,2023-03-04 15:47:15.176,3824.694,0 days 01:03:44.694000,90.515,0 days 00:01:30.515000,,,,,28.78,0 days 00:00:28.780000,39.032,0 days 00:00:39.032000,22.703,0 days 00:00:22.703000,3762.959,0 days 01:02:42.959000,3801.991,0 days 01:03:21.991000,3824.694,0 days 01:03:44.694000,3734.179,0 days 01:02:14.179000,,,,Bahrain GP 2023
0 days 01:05:44.915000,SAI,55,0 days 00:02:00.221000,12.0,4.0,nan,0 days 01:05:43.120000,0 days 00:00:36.752000,0 days 00:00:51.660000,0 days 00:00:31.809000,0 days 01:04:21.446000,0 days 01:05:13.106000,0 days 01:05:44.915000,172.0,176.0,,249.0,False,SOFT,3.0,True,Ferrari,0 days 01:03:44.694000,2023-03-04 15:48:45.691,1,,False,nan,False,False,2023-03-04 15:48:45.691,3944.915,0 days 01:05:44.915000,120.221,0 days 00:02:00.221000,,,3943.12,0 days 01:05:43.120000,36.752,0 days 00:00:36.752000,51.66,0 days 00:00:51.660000,31.809,0 days 00:00:31.809000,3861.446,0 days 01:04:21.446000,3913.106,0 days 01:05:13.106000,3944.915,0 days 01:05:44.915000,3824.694,0 days 01:03:44.694000,0 days 01:05:43.120000,,,Bahrain GP 2023
0 days 01:14:42.319000,SAI,55,nan,13.0,5.0,0 days 01:12:43.378000,nan,nan,0 days 00:00:53.408000,0 days 00:00:27.819000,nan,0 days 01:14:14.501000,0 days 01:14:42.485000,171.0,185.0,289.0,138.0,False,SOFT,1.0,True,Ferrari,0 days 01:05:44.915000,2023-03-04 15:50:45.912,1,,False,nan,False,False,2023-03-04 15:50:45.912,4482.319,0 days 01:14:42.319000,,,4363.378,0 days 01:12:43.378000,,,,,53.408,0 days 00:00:53.408000,27.819,0 days 00:00:27.819000,,,4454.501,0 days 01:14:14.501000,4482.485,0 days 01:14:42.485000,3944.915,0 days 01:05:44.915000,,0 days 01:12:43.378000,,Bahrain GP 2023
0 days 01:16:12.680000,SAI,55,0 days 00:01:30.361000,14.0,5.0,nan,nan,0 days 00:00:28.735000,0 days 00:00:38.965000,0 days 00:00:22.661000,0 days 01:15:11.054000,0 days 01:15:50.019000,0 days 01:16:12.680000,242.0,269.0,289.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:42.319000,2023-03-04 15:59:43.316,1,,False,nan,False,True,2023-03-04 15:59:43.316,4572.68,0 days 01:16:12.680000,90.361,0 days 00:01:30.361000,,,,,28.735,0 days 00:00:28.735000,38.965,0 days 00:00:38.965000,22.661,0 days 00:00:22.661000,4511.054,0 days 01:15:11.054000,4550.019,0 days 01:15:50.019000,4572.68,0 days 01:16:12.680000,4482.319,0 days 01:14:42.319000,,,,Bahrain GP 2023
0 days 01:18:11.612000,SAI,55,0 days 00:01:58.932000,15.0,5.0,nan,0 days 01:18:09.685000,0 days 00:00:35.889000,0 days 00:00:49.851000,0 days 00:00:33.192000,0 days 01:16:48.569000,0 days 01:17:38.420000,0 days 01:18:11.612000,177.0,171.0,,243.0,False,SOFT,3.0,True,Ferrari,0 days 01:16:12.680000,2023-03-04 16:01:13.677,1,,False,nan,False,False,2023-03-04 16:01:13.677,4691.612,0 days 01:18:11.612000,118.932,0 days 00:01:58.932000,,,4689.685,0 days 01:18:09.685000,35.889,0 days 00:00:35.889000,49.851,0 days 00:00:49.851000,33.192,0 days 00:00:33.192000,4608.569,0 days 01:16:48.569000,4658.42,0 days 01:17:38.420000,4691.612,0 days 01:18:11.612000,4572.68,0 days 01:16:12.680000,0 days 01:18:09.685000,,,Bahrain GP 2023
0 days 01:22:39.663000,SAI,55,nan,16.0,6.0,0 days 01:20:35.151000,nan,nan,0 days 00:00:57.316000,0 days 00:00:28.139000,nan,0 days 01:22:11.524000,0 days 01:22:39.852000,189.0,167.0,288.0,134.0,False,SOFT,1.0,False,Ferrari,0 days 01:18:11.612000,2023-03-04 16:03:12.609,1,,False,nan,False,False,2023-03-04 16:03:12.609,4959.663,0 days 01:22:39.663000,,,4835.151,0 days 01:20:35.151000,,,,,57.316,0 days 00:00:57.316000,28.139,0 days 00:00:28.139000,,,4931.524,0 days 01:22:11.524000,4959.852,0 days 01:22:39.852000,4691.612,0 days 01:18:11.612000,,0 days 01:20:35.151000,,Bahrain GP 2023
0 days 01:24:09.817000,SAI,55,0 days 00:01:30.154000,17.0,6.0,nan,nan,0 days 00:00:28.739000,0 days 00:00:38.700000,0 days 00:00:22.715000,0 days 01:23:08.402000,0 days 01:23:47.102000,0 days 01:24:09.817000,243.0,270.0,288.0,323.0,True,SOFT,2.0,False,Ferrari,0 days 01:22:39.663000,2023-03-04 16:07:40.660,1,,False,nan,False,True,2023-03-04 16:07:40.660,5049.817,0 days 01:24:09.817000,90.154,0 days 00:01:30.154000,,,,,28.739,0 days 00:00:28.739000,38.7,0 days 00:00:38.700000,22.715,0 days 00:00:22.715000,4988.402,0 days 01:23:08.402000,5027.102,0 days 01:23:47.102000,5049.817,0 days 01:24:09.817000,4959.663,0 days 01:22:39.663000,,,,Bahrain GP 2023
0 days 01:26:07.332000,SAI,55,nan,18.0,6.0,nan,0 days 01:26:07.332000,0 days 00:00:37.978000,0 days 00:00:51.252000,nan,0 days 01:24:47.802000,0 days 01:25:39.036000,nan,161.0,189.0,,227.0,False,SOFT,3.0,False,Ferrari,0 days 01:24:09.817000,2023-03-04 16:09:10.814,1,,False,nan,False,False,2023-03-04 16:09:10.814,5167.332,0 days 01:26:07.332000,,,,,5167.332,0 days 01:26:07.332000,37.978,0 days 00:00:37.978000,51.252,0 days 00:00:51.252000,,,5087.802,0 days 01:24:47.802000,5139.036,0 days 01:25:39.036000,,,5049.817,0 days 01:24:09.817000,0 days 01:26:07.332000,,,Bahrain GP 2023
0 days 00:29:39.199000,ALO,14,nan,1.0,1.0,0 days 00:27:29.646000,nan,nan,0 days 00:00:52.629000,0 days 00:00:30.427000,nan,0 days 00:29:08.832000,0 days 00:29:39.237000,181.0,235.0,285.0,95.0,False,SOFT,1.0,True,Aston Martin,0 days 00:27:29.646000,2023-03-04 15:12:30.643,1,,False,nan,False,False,2023-03-04 15:12:30.643,1779.199,0 days 00:29:39.199000,,,1649.646,0 days 00:27:29.646000,,,,,52.629,0 days 00:00:52.629000,30.427,0 days 00:00:30.427000,,,1748.832,0 days 00:29:08.832000,1779.237,0 days 00:29:39.237000,1649.646,0 days 00:27:29.646000,,0 days 00:27:29.646000,,Bahrain GP 2023
0 days 00:31:10.357000,ALO,14,0 days 00:01:31.158000,2.0,1.0,nan,nan,0 days 00:00:29.259000,0 days 00:00:39.038000,0 days 00:00:22.861000,0 days 00:30:08.458000,0 days 00:30:47.496000,0 days 00:31:10.357000,240.0,268.0,285.0,318.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:39.199000,2023-03-04 15:14:40.196,1,,False,nan,False,True,2023-03-04 15:14:40.196,1870.357,0 days 00:31:10.357000,91.158,0 days 00:01:31.158000,,,,,29.259,0 days 00:00:29.259000,39.038,0 days 00:00:39.038000,22.861,0 days 00:00:22.861000,1808.458,0 days 00:30:08.458000,1847.496,0 days 00:30:47.496000,1870.357,0 days 00:31:10.357000,1779.199,0 days 00:29:39.199000,,,,Bahrain GP 2023
0 days 00:33:09.832000,ALO,14,0 days 00:01:59.475000,3.0,1.0,nan,0 days 00:33:08.062000,0 days 00:00:36.445000,0 days 00:00:50.338000,0 days 00:00:32.692000,0 days 00:31:46.802000,0 days 00:32:37.140000,0 days 00:33:09.832000,193.0,176.0,,189.0,False,SOFT,3.0,True,Aston Martin,0 days 00:31:10.357000,2023-03-04 15:16:11.354,1,,False,nan,False,False,2023-03-04 15:16:11.354,1989.832,0 days 00:33:09.832000,119.475,0 days 00:01:59.475000,,,1988.062,0 days 00:33:08.062000,36.445,0 days 00:00:36.445000,50.338,0 days 00:00:50.338000,32.692,0 days 00:00:32.692000,1906.802,0 days 00:31:46.802000,1957.14,0 days 00:32:37.140000,1989.832,0 days 00:33:09.832000,1870.357,0 days 00:31:10.357000,0 days 00:33:08.062000,,,Bahrain GP 2023
